"head__totalCount","head__numOfRows","head__pageNo","head__type","head__RESULT__resultCode","head__RESULT__resultMsg","row__restSeqNo","row__year","row__areaCd","row__equptype","row__restname","row__restaddr","row__creDttm","row__updtDttm","row__useYn","row__areaNm","row__operBeginDe","row__operEndDe","row__ar","row__usePsblNmpr","row__colrHoldElefn","row__colrHoldArcndtn","row__chckMatterNightOpnAt","row__chckMatterWkendHdayOpnAt","row__chckMatterStayngPsblAt","row__rm","row__dtlAdres","row__mngdpt_cd","row__mngdptCd","row__xcord","row__ycord","row__la","row__lo"
"64348","1000","3","XML","INFO-0","NOMAL SERVICE","46820547","2023","4682043000","001","월산경로당","전라남도 해남군 화원면월산길 63","2021-04-19 23:59:21","2023-05-20 16:21:06","Y","전라남도 해남군 화원면","20230520","20230930","53","13","2","1","N","Y","N","null","203-4","4930110","061-530-5827","0E-8","0E-8","34.71398100","126.33248500"
"","","","","","","46820548","2023","4682043000","001","산수경로당","전라남도 해남군 화원면산수길 79","2021-04-19 23:59:21","2023-05-20 16:21:06","Y","전라남도 해남군 화원면","20230520","20230930","60","15","2","1","N","Y","N","null","255-0","4930110","061-530-5827","0E-8","0E-8","34.65417800","126.28909300"
"","","","","","","46820549","2023","4682043000","001","송촌경로당","전라남도 해남군 화원면송촌리길 5","2021-04-19 23:59:21","2023-05-20 16:21:06","Y","전라남도 해남군 화원면","20230520","20230930","66","17","4","1","N","Y","N","null","572-0","4930110","061-530-5827","0E-8","0E-8","34.69817810","126.28825680"
"","","","","","","46820550","2023","4682043000","001","평리경로당","전라남도 해남군 화원면금평길 39","2021-04-19 23:59:21","2023-05-20 16:21:06","Y","전라남도 해남군 화원면","20230520","20230930","84","21","2","2","N","Y","N","null","145-1","4930110","061-530-5827","0E-8","0E-8","34.67156100","126.32707400"
"","","","","","","46820540","2023","4682043000","001","질마경로당","전라남도 해남군 화원면질마가마길 130-10","2021-04-19 23:59:21","2023-05-20 16:21:06","Y","전라남도 해남군 화원면","20230520","20230930","66","17","1","1","N","Y","N","null","237-4","4930110","061-530-5827","0E-8","0E-8","34.70671470","126.29235050"
"","","","","","","46820541","2023","4682043000","001","인지경로당","전라남도 해남군 화원면인지길 24","2021-04-19 23:59:21","2023-05-20 16:21:06","Y","전라남도 해남군 화원면","20230520","20230930","64","16","1","2","N","Y","N","null","396-2","4930110","061-530-5827","0E-8","0E-8","34.68889190","126.28061920"
"","","","","","","46820542","2023","4682043000","001","후포경로당","전라남도 해남군 화원면후포길 45","2021-04-19 23:59:21","2023-05-20 16:21:06","Y","전라남도 해남군 화원면","20230520","20230930","73","18","3","1","N","Y","N","null","418-2","4930110","061-530-5827","0E-8","0E-8","34.70681700","126.28173300"
"","","","","","","46820543","2023","4682043000","001","사동경로당","전라남도 해남군 화원면신덕호길 435","2021-04-19 23:59:21","2023-05-20 16:21:06","Y","전라남도 해남군 화원면","20230520","20230930","165","41","2","1","N","Y","N","null","1012-9","4930110","061-530-5827","0E-8","0E-8","34.67121600","126.29391200"
"","","","","","","46820544","2023","4682043000","001","구지경로당","전라남도 해남군 화원면구지길 21","2021-04-19 23:59:21","2023-05-20 16:21:06","Y","전라남도 해남군 화원면","20230520","20230930","89","22","7","2","N","Y","N","null","497-6","4930110","061-530-5827","0E-8","0E-8","34.69039430","126.32773410"
"","","","","","","46820553","2023","4682043000","001","산촌경로당","전라남도 해남군 화원면신용리길 213","2021-04-19 23:59:21","2023-05-20 16:21:06","Y","전라남도 해남군 화원면","20230520","20230930","119","30","1","1","N","Y","N","null","1211-2","4930110","061-530-5827","0E-8","0E-8","34.64574310","126.29161810"
"","","","","","","46820519","2023","4682042000","001","학동경로당","전라남도 해남군 문내면학동길 183","2021-04-19 23:59:21","2023-05-20 16:21:06","Y","전라남도 해남군 문내면","20230520","20230930","73","23","2","1","Y","Y","N","null","456-1","4930110","061-530-5827","0E-8","0E-8","34.57858400","126.32559300"
"","","","","","","46820520","2023","4682042000","001","이목경로당","전라남도 해남군 문내면명량로 908-8","2021-04-19 23:59:21","2023-05-20 16:21:06","Y","전라남도 해남군 문내면","20230520","20230930","77","12","2","1","Y","Y","N","null","13-1","4930110","061-530-5827","0E-8","0E-8","34.57636800","126.37241400"
"","","","","","","46820521","2023","4682042000","001","난대경로당","전라남도 해남군 문내면난대길 44","2021-04-19 23:59:21","2023-05-20 16:21:06","Y","전라남도 해남군 문내면","20230520","20230930","53","16","1","1","Y","Y","N","null","404-9","4930110","061-530-5827","0E-8","0E-8","34.60768200","126.30951300"
"","","","","","","46820522","2023","4682042000","001","장포경로당","전라남도 해남군 문내면장포길 116-9","2021-04-19 23:59:21","2023-05-20 16:21:06","Y","전라남도 해남군 문내면","20230520","20230930","60","19","1","1","Y","Y","N","null","84-1","4930110","061-530-5827","0E-8","0E-8","34.58661100","126.32930900"
"","","","","","","46820523","2023","4682042000","001","동내경로당","전라남도 해남군 문내면동헌길 32-7","2021-04-19 23:59:21","2023-05-20 16:21:06","Y","전라남도 해남군 문내면","20230520","20230930","43","14","1","1","Y","Y","N","null","1145-0","4930110","061-530-5827","0E-8","0E-8","34.59205200","126.30968300"
"","","","","","","46820524","2023","4682042000","001","삼덕경로당","전라남도 해남군 문내면삼덕길 4","2021-04-19 23:59:21","2023-05-20 16:21:06","Y","전라남도 해남군 문내면","20230520","20230930","98","25","1","1","Y","Y","N","null","1648-5","4930110","061-530-5827","0E-8","0E-8","34.60402200","126.36033300"
"","","","","","","46820525","2023","4682042000","001","용암경로당","전라남도 해남군 문내면용암길 33","2021-04-19 23:59:21","2023-05-20 16:21:06","Y","전라남도 해남군 문내면","20230520","20230930","98","24","3","1","Y","Y","N","null","927-3","4930110","061-530-5827","0E-8","0E-8","34.60260600","126.33084650"
"","","","","","","46820526","2023","4682042000","001","원동경로당","전라남도 해남군 문내면 원동리길 30-14, 원동리마을회관","2021-04-19 23:59:21","2023-05-20 16:21:06","Y","전라남도 해남군 문내면","20230520","20230930","99","24","3","1","Y","Y","N","null","용암리 733-1 원동리마을회관","4930110","061-530-5827","0E-8","0E-8","34.60065330","126.34745890"
"","","","","","","46820551","2023","4682043000","001","신용경로당","전라남도 해남군 화원면신용리길 84","2021-04-19 23:59:21","2023-05-20 16:21:06","Y","전라남도 해남군 화원면","20230520","20230930","67","17","1","2","N","Y","N","null","900-16","4930110","061-530-5827","0E-8","0E-8","34.64458530","126.30381320"
"","","","","","","46820454","2023","4682041000","001","업자경로당","전라남도 해남군 산이면업자길 136","2021-04-19 23:59:21","2023-05-20 16:21:06","Y","전라남도 해남군 산이면","20230520","20230930","94","29","2","1","N","Y","N","null","249-1","4930110","061-530-5827","0E-8","0E-8","34.63120300","126.50704600"
"","","","","","","46820455","2023","4682041000","001","시등경로당","전라남도 해남군 산이면금동길 16","2021-04-19 23:59:21","2023-05-20 16:21:06","Y","전라남도 해남군 산이면","20230520","20230930","75","23","2","1","Y","Y","N","null","482-5","4930110","061-530-5827","0E-8","0E-8","34.62309400","126.49763500"
"","","","","","","46820456","2023","4682041000","001","대명경로당","전라남도 해남군 산이면원금길 389","2021-04-19 23:59:21","2023-05-20 16:21:06","Y","전라남도 해남군 산이면","20230520","20230930","59","18","2","1","N","Y","N","null","859-31","4930110","061-530-5827","0E-8","0E-8","34.61827600","126.48512500"
"","","","","","","46820457","2023","4682041000","001","부흥경로당","전라남도 해남군 산이면 내덕길 49","2021-04-19 23:59:21","2023-05-20 16:21:06","Y","전라남도 해남군 산이면","20230520","20230930","46","15","1","1","N","Y","N","null","덕호리 390-1","4930110","061-530-5827","0E-8","0E-8","34.63548300","126.48053400"
"","","","","","","46820458","2023","4682041000","001","학림경로당","전라남도 해남군 산이면학림길 57","2021-04-19 23:59:21","2023-05-20 16:21:06","Y","전라남도 해남군 산이면","20230520","20230930","68","33","2","1","N","Y","N","null","465-5","4930110","061-530-5827","0E-8","0E-8","34.62860900","126.47626600"
"","","","","","","46820459","2023","4682041000","001","금동경로당","전라남도 해남군 산이면금동길 54","2021-04-19 23:59:21","2023-05-20 16:21:06","Y","전라남도 해남군 산이면","20230520","20230930","83","25","3","1","Y","Y","N","null","466-7","4930110","061-530-5827","0E-8","0E-8","34.62085000","126.49669600"
"","","","","","","46820447","2023","4682041000","001","당후경로당","전라남도 해남군 산이면 당후길 51","2021-04-19 23:59:21","2023-05-20 16:21:06","Y","전라남도 해남군 산이면","20230520","20230930","73","23","2","1","N","Y","N","null","상공리 145-1","4930110","061-530-5827","0E-8","0E-8","34.68572000","126.40471700"
"","","","","","","46820448","2023","4682041000","001","상공경로당","전라남도 해남군 산이면상공길 47-6","2021-04-19 23:59:21","2023-05-20 16:21:06","Y","전라남도 해남군 산이면","20230520","20230930","81","25","2","1","N","Y","N","null","426-0","4930110","061-530-5827","0E-8","0E-8","34.67592400","126.40374200"
"","","","","","","30230007","2023","3023051000","001","영진로얄@경로당","대전광역시 대덕구 대전로1020번길 86 (오정동)","2021-04-05 09:26:49","2023-07-06 15:55:21","Y","대전광역시 대덕구 오정동","20230520","20230930","55","14","1","1","N","N","N","null","254-1 관리사무소내","3680198","042-608-5353","0E-8","0E-8","36.35291960","127.42044450"
"","","","","","","46810052","2023","4681031000","001","학평경로당","전라남도 강진군 군동면학평길 66","2021-03-10 10:43:16","2023-07-12 05:02:00","Y","전라남도 강진군 군동면","20230520","20230930","40","9","4","1","Y","Y","N","null","409-3","4920131","061-430-3934","0E-8","0E-8","34.63282300","126.79309400"
"","","","","","","46810053","2023","4681031000","001","연화경로당","전라남도 강진군 군동면연화길 17","2021-03-10 10:43:16","2023-07-12 05:02:00","Y","전라남도 강진군 군동면","20230520","20230930","60","15","4","1","Y","Y","N","null","1319-6","4920131","061-430-3934","0E-8","0E-8","34.61534000","126.78814600"
"","","","","","","46810054","2023","4681031000","001","비자동경로당","전라남도 강진군 군동면비자동1길 14","2021-03-10 10:43:16","2023-07-12 05:02:00","Y","전라남도 강진군 군동면","20230520","20230930","69","17","3","1","Y","Y","N","null","657-0","4920131","061-430-3934","0E-8","0E-8","34.62151400","126.79623400"
"","","","","","","46810055","2023","4681031000","001","월봉경로당","전라남도 강진군 군동면금사길 193","2021-03-10 10:43:16","2023-07-12 05:02:00","Y","전라남도 강진군 군동면","20230520","20230930","80","20","1","1","Y","Y","N","null","118-1","4920131","061-430-3934","0E-8","0E-8","34.61386600","126.81238400"
"","","","","","","41590295","2023","4159033000","001","석교3리 경로당","경기도 화성시 마도면 석교로150번길 7-4","2021-03-10 10:33:42","2023-08-07 09:57:01","Y","경기도 화성시 마도면","20190515","20191015","64","28","2","1","N","N","N","null","209-7","5530366","031-5189-2346","0E-8","0E-8","37.20322120","126.77483450"
